year,interpolated,trend,fluctuation
67.88,405.14,407.22,-1
67.88,405.14,407.22,1
67.79,403.64,407.03,1
67.79,403.64,407.03,1
67.71,403.38,406.93,1
67.71,403.38,406.93,-1
67.62,405.07,406.94,-1
67.62,405.07,406.94,-1
67.54,407.07,406.65,-1
67.54,407.07,406.65,-1
67.46,408.84,406.51,-1
67.46,408.84,406.51,-1
67.38,409.65,406.24,-1
67.38,409.65,406.24,1
67.29,409,406.1,1
67.29,409,406.1,1
67.21,407.18,405.61,1
67.21,407.18,405.61,1
67.12,406.42,405.61,1
67.12,406.42,405.61,1
67.04,406.13,405.89,1
67.04,406.13,405.89,1
66.96,404.42,405.2,1
66.96,404.42,405.2,1
66.88,403.53,405.62,1
66.88,403.53,405.62,1
66.79,401.57,404.95,1
66.79,401.57,404.95,1
66.71,401.03,404.57,1
66.71,401.03,404.57,-1
66.62,402.25,404.13,-1
66.62,402.25,404.13,-1
66.54,404.39,403.97,-1
66.54,404.39,403.97,-1
66.46,406.81,404.48,-1
66.46,406.81,404.48,-1
66.38,407.7,404.3,-1
66.38,407.7,404.3,1
66.29,407.42,404.52,1
66.29,407.42,404.52,1
66.21,404.83,403.26,1
66.21,404.83,403.26,1
66.12,404.04,403.22,1
66.12,404.04,403.22,1
66.04,402.52,402.28,1
66.04,402.52,402.28,1
65.96,401.85,402.63,1
65.96,401.85,402.63,1
65.88,400.16,402.24,1
65.88,400.16,402.24,1
65.79,398.29,401.67,1
65.79,398.29,401.67,1
65.71,397.63,401.18,1
65.71,397.63,401.18,-1
65.62,398.93,400.81,-1
65.62,398.93,400.81,-1
65.54,401.31,400.89,-1
65.54,401.31,400.89,-1
65.46,402.8,400.47,-1
65.46,402.8,400.47,-1
65.38,403.96,400.55,-1
65.38,403.96,400.55,1
65.29,403.28,400.38,1
65.29,403.28,400.38,1
65.21,401.54,399.97,1
65.21,401.54,399.97,1
65.12,400.28,399.47,1
65.12,400.28,399.47,1
65.04,399.98,399.74,1
65.04,399.98,399.74,1
64.96,398.91,399.69,1
64.96,398.91,399.69,1
64.88,397.28,399.36,1
64.88,397.28,399.36,1
64.79,396.03,399.41,1
64.79,396.03,399.41,1
64.71,395.38,398.93,1
64.71,395.38,398.93,-1
64.62,397.03,398.91,-1
64.62,397.03,398.91,-1
64.54,399.1,398.69,-1
64.54,399.1,398.69,-1
64.46,401.25,398.93,-1
64.46,401.25,398.93,-1
64.38,401.78,398.37,-1
64.38,401.78,398.37,1
64.29,401.38,398.48,1
64.29,401.38,398.48,1
64.21,399.77,398.19,1
64.21,399.77,398.19,1
64.12,398.01,397.2,1
64.12,398.01,397.2,1
64.04,397.85,397.61,1
64.04,397.85,397.61,1
63.96,396.84,397.59,1
63.96,396.84,397.59,1
63.88,395.16,397.14,1
63.88,395.16,397.14,1
63.79,393.7,397.04,1
63.79,393.7,397.04,1
63.71,393.45,396.99,1
63.71,393.45,396.99,-1
63.62,395.2,397.08,-1
63.62,395.2,397.08,-1
63.54,397.32,396.92,-1
63.54,397.32,396.92,-1
63.46,398.61,396.28,-1
63.46,398.61,396.28,-1
63.38,399.78,396.4,-1
63.38,399.78,396.4,1
63.29,398.41,395.53,1
63.29,398.41,395.53,1
63.21,397.43,395.85,1
63.21,397.43,395.85,1
63.12,396.8,396.02,1
63.12,396.8,396.02,1
63.04,395.55,395.4,1
63.04,395.55,395.4,1
62.96,394.34,395.04,1
62.96,394.34,395.04,1
62.88,392.98,395.02,1
62.88,392.98,395.02,1
62.79,391.05,394.41,1
62.79,391.05,394.41,-1
62.71,391.11,394.54,-1
62.71,391.11,394.54,-1
62.62,392.39,394.17,-1
62.62,392.39,394.17,-1
62.54,394.36,393.92,-1
62.54,394.36,393.92,-1
62.46,395.71,393.45,-1
62.46,395.71,393.45,-1
62.38,396.74,393.54,-1
62.38,396.74,393.54,1
62.29,396.18,393.43,1
62.29,396.18,393.43,1
62.21,394.4,392.8,1
62.21,394.4,392.8,1
62.12,393.86,393.04,1
62.12,393.86,393.04,1
62.04,393.12,392.89,1
62.04,393.12,392.89,1
61.96,391.86,392.66,1
61.96,391.86,392.66,1
61.88,390.28,392.44,1
61.88,390.28,392.44,1
61.79,389,392.33,1
61.79,389,392.33,-1
61.71,389.08,392.4,-1
61.71,389.08,392.4,-1
61.62,390.13,391.83,-1
61.62,390.13,391.83,-1
61.54,392.51,392.04,-1
61.54,392.51,392.04,-1
61.46,393.73,391.44,-1
61.46,393.73,391.44,-1
61.38,394.19,391.02,-1
61.38,394.19,391.02,1
61.29,393.25,390.63,1
61.29,393.25,390.63,1
61.21,392.6,391.07,1
61.21,392.6,391.07,1
61.12,391.86,390.94,1
61.12,391.86,390.94,1
61.04,391.33,391.03,1
61.04,391.33,391.03,1
60.96,389.79,390.6,1
60.96,389.79,390.6,1
60.88,388.67,390.79,1
60.88,388.67,390.79,1
60.79,387.24,390.53,1
60.79,387.24,390.53,1
60.71,386.85,390.14,1
60.71,386.85,390.14,-1
60.62,388.35,390.01,-1
60.62,388.35,390.01,-1
60.54,390.2,389.72,-1
60.54,390.2,389.72,-1
60.46,392.15,389.89,-1
60.46,392.15,389.89,-1
60.38,393,389.88,-1
60.38,393,389.88,1
60.29,392.46,389.89,1
60.29,392.46,389.89,1
60.21,391.17,389.65,1
60.21,391.17,389.65,1
60.12,390.2,389.26,1
60.12,390.2,389.26,1
60.04,388.71,388.41,1
60.04,388.71,388.41,1
59.96,387.42,388.23,1
59.96,387.42,388.23,1
59.88,386.02,388.16,1
59.88,386.02,388.16,1
59.79,384.43,387.68,1
59.79,384.43,387.68,-1
59.71,384.74,388.01,-1
59.71,384.74,388.01,-1
59.62,386.11,387.8,-1
59.62,386.11,387.8,-1
59.54,388.03,387.55,-1
59.54,388.03,387.55,-1
59.46,389.48,387.24,-1
59.46,389.48,387.24,-1
59.38,390.14,387.02,-1
59.38,390.14,387.02,1
59.29,389.55,386.92,1
59.29,389.55,386.92,1
59.21,388.82,387.32,1
59.21,388.82,387.32,1
59.12,387.48,386.59,1
59.12,387.48,386.59,1
59.04,386.94,386.63,1
59.04,386.94,386.63,1
58.96,385.56,386.41,1
58.96,385.56,386.41,1
58.88,384.19,386.37,1
58.88,384.19,386.37,1
58.79,382.99,386.27,1
58.79,382.99,386.27,-1
58.71,383.18,386.46,-1
58.71,383.18,386.46,-1
58.62,384.09,385.75,-1
58.62,384.09,385.75,-1
58.54,386.35,385.79,-1
58.54,386.35,385.79,-1
58.46,387.76,385.46,-1
58.46,387.76,385.46,-1
58.38,388.54,385.45,-1
58.38,388.54,385.45,1
58.29,387.21,384.58,1
58.29,387.21,384.58,1
58.21,386.03,384.48,1
58.21,386.03,384.48,1
58.12,385.82,384.96,1
58.12,385.82,384.96,1
58.04,385.52,385.28,1
